COCT_MT110000,UV,2004Jan,R01,Membership,Accepted,"Ballot history info only resided in the CMET Master Spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT110000,UV,2005Jan,R04,Committee,Failed,
COCT_MT110000,UV,2005May,R04,Committee,Accepted,
COCT_MT110000,UV,2005Sep,R04,Membership,Accepted,
COCT_MT110000,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT110300,UV,2004Jan,R01,Membership,Accepted,
COCT_MT110300,UV,2005Jan,R04,Committee,Failed,
COCT_MT110300,UV,2005May,R04,Committee,Accepted,
COCT_MT110300,UV,2005Sep,R04,Membership,Accepted,
COCT_MT110300,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT110200,UV,2004Jan,R01,Membership,Accepted,
COCT_MT110200,UV,2005Jan,R04,Committee,Failed,
COCT_MT110200,UV,2005May,R04,Committee,Accepted,
COCT_MT110200,UV,2005Sep,R04,Membership,Accepted,
COCT_MT110200,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT110201,UV,2005Jan,R04,Committee,Failed,
COCT_MT110201,UV,2005May,R04,Committee,Accepted,
COCT_MT110201,UV,2005Sep,R04,Membership,Accepted,
COCT_MT110201,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT110202,UV,2005Jan,R04,Committee,Failed,
COCT_MT110202,UV,2005May,R04,Committee,Accepted,
COCT_MT110202,UV,2005Sep,R04,Membership,Accepted,
COCT_MT110202,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT110100,UV,2004Jan,R01,Membership,Accepted,
COCT_MT110100,UV,2005Jan,R04,Committee,Failed,
COCT_MT110100,UV,2005May,R04,Committee,Accepted,
COCT_MT110100,UV,2005Sep,R04,Membership,Accepted,
COCT_MT110100,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT110101,UV,2005Jan,R04,Committee,Failed,
COCT_MT110101,UV,2005May,R04,Committee,Accepted,
COCT_MT110101,UV,2005Sep,R04,Membership,Accepted,
COCT_MT110101,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT110102,UV,2005Jan,R04,Committee,Failed,
COCT_MT110102,UV,2005May,R04,Committee,Accepted,
COCT_MT110102,UV,2005Sep,R04,Membership,Accepted,
COCT_MT110102,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT320000,UV,2004Jan,R01,Membership,Accepted,
COCT_MT320000,UV,2005Jan,R04,Committee,Failed,
COCT_MT320000,UV,2005May,R04,Committee,Accepted,
COCT_MT320000,UV,2005Sep,R04,Membership,Accepted,
COCT_MT320000,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT770000,UV,2008Sep,R09,Committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT770000,UV,2009Jan,R09,Normative,Failed,No info in Master List; making assumptions from balloting documentation
COCT_MT770000,UV,2009May,R09,Normative,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT770000,UV,2012Sep,R09,Reaffirmation,Accepted,
COCT_MT770005,UV,2008Sep,R09,Committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT770005,UV,2009Jan,R09,Normative,Failed,No info in Master List; making assumptions from balloting documentation
COCT_MT770005,UV,2009May,R09,Normative,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT770005,UV,2012Sep,R09,Reaffirmation,Accepted,
COCT_MT280000,UV,2004Jan,R01,Membership,Accepted,"Ballot history info only resided in the CMET Master Spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT280000,UV,2005Jan,R04,Committee,Failed,
COCT_MT280000,UV,2005May,R04,Committee,Accepted,
COCT_MT280000,UV,2005Sep,R04,Membership,Accepted,
COCT_MT280000,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT490000,UV,2004Jan,R01,Membership,Accepted,"Ballot history info only resided in the CMET Master Spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT490000,UV,2005Jan,R04,Committee,Failed,
COCT_MT490000,UV,2005May,R04,Committee,Accepted,
COCT_MT490000,UV,2005Sep,R04,Membership,Accepted,
COCT_MT490000,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT290000,UV,2004Jan,R01,Membership,Accepted,"Ballot history info only resided in the CMET Master Spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT290000,UV,2005Jan,R06,Committee,Failed,
COCT_MT290000,UV,2005May,R06,Committee,Failed,
COCT_MT290000,UV,2005Sep,R06,Committee,Failed,
COCT_MT290000,UV,2006Jan,R06,Committee,Failed,
COCT_MT290000,UV,2006Sep,R06,Committee,Failed,
COCT_MT290000,UV,2007Jan,R06,Committee,Failed,
COCT_MT290000,UV,2007May,R06,Membership,Failed,
COCT_MT290000,UV,2007Sep,R06,Membership,Accepted,
COCT_MT290000,UV,2012Sep,R06,Reaffirmation,Accepted,
COCT_MT290002,UV,2005Jan,R06,Committee,Failed,
COCT_MT290002,UV,2005May,R06,Committee,Failed,
COCT_MT290002,UV,2005Sep,R06,Committee,Failed,
COCT_MT290002,UV,2006Jan,R06,Committee,Failed,
COCT_MT290002,UV,2006Sep,R06,Committee,Failed,
COCT_MT290002,UV,2007Jan,R06,Committee,Failed,
COCT_MT290002,UV,2007May,R06,Membership,Failed,
COCT_MT290002,UV,2007Sep,R06,Membership,Accepted,
COCT_MT290002,UV,2012Sep,R06,Reaffirmation,Accepted,
COCT_MT290003,UV,2004Sep,R07,Committee,Failed,No info in Master List; making assumptions from balloting documentation
COCT_MT290003,UV,2005Jan,R07,Committee,Failed,
COCT_MT290003,UV,2005May,R07,Committee,Failed,
COCT_MT290003,UV,2005Sep,R07,Committee,Failed,
COCT_MT290003,UV,2006Jan,R07,Committee,Failed,
COCT_MT290003,UV,2006Sep,R07,Committee,Failed,
COCT_MT290003,UV,2007Jan,R07,Committee,Accepted,Master list wasn't clear with the disposition; making assumptions from balloting documentation that the next level was Membership
COCT_MT290003,UV,2007May,R07,Membership,Failed,
COCT_MT290003,UV,2007Sep,R07,Membership,Accepted,
COCT_MT290003,UV,2012Sep,R07,Reaffirmation,Accepted,
COCT_MT290004,UV,2005May,R06,Committee,Failed,
COCT_MT290004,UV,2005Sep,R06,Committee,Failed,
COCT_MT290004,UV,2006Jan,R06,Committee,Failed,
COCT_MT290004,UV,2006Sep,R06,Committee,Failed,
COCT_MT290004,UV,2007Jan,R06,Committee,Failed,
COCT_MT290004,UV,2007May,R06,Membership,Failed,
COCT_MT290004,UV,2007Sep,R06,Membership,Accepted,
COCT_MT290004,UV,2012Sep,R06,Reaffirmation,Accepted,
COCT_MT740000,UV,2004May,R04,Committee,Failed,"Ballot history info only resided in the CMET Master Spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT740000,UV,2005Jan,R04,Committee,Failed,
COCT_MT740000,UV,2005May,R04,Committee,Accepted,
COCT_MT740000,UV,2005Sep,R04,Membership,Accepted,
COCT_MT740000,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT300000,UV,2004Jan,R04,Membership,Failed,"Ballot history info only resided in the CMET Master Spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT300000,UV,2004Sep,R04,Committee,Failed,Master list wasn't clear; making assumptions from balloting documentation that the next level was Membership
COCT_MT300000,UV,2005Jan,R04,Committee,Failed,
COCT_MT300000,UV,2005May,R04,Committee,Accepted,
COCT_MT300000,UV,2005Sep,R04,Membership,Accepted,
COCT_MT300000,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT300001,UV,2005May,R04,Committee,Accepted,
COCT_MT300001,UV,2005Sep,R04,Membership,Accepted,
COCT_MT300001,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT310000,UV,2004Jan,R01,Membership,Accepted,
COCT_MT310000,UV,2005Jan,R04,Committee,Failed,
COCT_MT310000,UV,2005May,R04,Committee,Accepted,
COCT_MT310000,UV,2005Sep,R04,Membership,Accepted,
COCT_MT310000,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT610000,UV,2007May,R06,Committee,Failed,
COCT_MT610000,UV,2007Sep,R06,Membership,Accepted,
COCT_MT610000,UV,2012Sep,R06,Reaffirmation,Accepted,
COCT_MT600000,UV,2004Jan,R06,Membership,Failed,
COCT_MT600000,UV,2004May,R06,Committee,Failed,"Ballot history info only resided in the CMET Master Spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT600000,UV,2005Jan,R06,Committee,Failed,
COCT_MT600000,UV,2005May,R06,Committee,Accepted,
COCT_MT600000,UV,2005Sep,R06,Membership,Failed,
COCT_MT600000,UV,2006Jan,R06,Committee,Failed,
COCT_MT600000,UV,2007Jan,R06,Committee,Failed,
COCT_MT600000,UV,2007May,R06,Committee,Failed,
COCT_MT600000,UV,2007Sep,R06,Membership,Accepted,
COCT_MT600000,UV,2012Sep,R06,Reaffirmation,Accepted,
COCT_MT750000,UV,2005Jan,R04,Committee,Failed,
COCT_MT750000,UV,2005May,R04,Committee,Accepted,
COCT_MT750000,UV,2005Sep,R04,Membership,Accepted,
COCT_MT750000,UV,2012Sep,R04,Reaffirmation,Accepted,
COCT_MT400000,UV,2007Jan,R07,Committee,Accepted,Master list wasn't clear with the disposition; making assumptions from balloting documentation that the next level was Membership
COCT_MT400000,UV,2007May,R07,Membership,Failed,
COCT_MT400000,UV,2007Sep,R07,Membership,Accepted,Master list wasn't clear with the disposition; making assumptions from balloting documentation that the next level was Membership
COCT_MT400000,UV,2012Sep,R07,Reaffirmation,Accepted,
COCT_MT400100,UV,2007Jan,R07,Committee,Accepted,Master list wasn't clear with the disposition; making assumptions from balloting documentation that the next level was Membership
COCT_MT400100,UV,2007May,R07,Membership,Failed,Master list wasn't clear with the disposition; making assumptions from balloting documentation that the next level was Membership
COCT_MT400100,UV,2007Sep,R07,Membership,Accepted,"Ballot documentation note: Passed, reballot due to nominally substantive negative ballot comments. Balloters who particiapted in the R6M2 ballot are especially encouraged to review the changes made to this CMET. "
